name,bodyname,bodypart,energycost,type,attack,shield,effect,axietype,Imageurl
Shelter,Hermit,back,1,melee,0,115,Disable critical strikes on this Axie during this round.,Fish,https://storage.googleapis.com/axie-cdn/game/cards/base/aquatic-back-02.png
Scale Dart,Blue Moon,back,1,ranged,120,30,Draw a card if target is in Last Stand.,Fish,https://storage.googleapis.com/axie-cdn/game/cards/base/aquatic-back-04.png
Swift Escape,Goldfish,back,1,melee,110,20,Apply Speed+ to this Axie for 2 rounds when attacked.,Fish,https://storage.googleapis.com/axie-cdn/game/cards/base/aquatic-back-06.png
Shipwreck,Sponge,back,1,melee,60,90,Apply Attack+ to this Axie if its shield breaks.,Fish,https://storage.googleapis.com/axie-cdn/game/cards/base/aquatic-back-08.png
Aqua Vitality,Anemone,back,1,melee,80,40,Successful attacks restore 50 HP for each Anemone part this Axie posseses.,Fish,https://storage.googleapis.com/axie-cdn/game/cards/base/aquatic-back-10.png
Spinal Tap,Perch,back,1,melee,100,20,Prioritize idle target when comboed with at least 2 additional cards.,Fish,https://storage.googleapis.com/axie-cdn/game/cards/base/aquatic-back-12.png
Shell Jab,Babylonia,horn,1,melee,100,50,Deal 130% damage when attacking an idle target.,Fish,https://storage.googleapis.com/axie-cdn/game/cards/base/aquatic-horn-02.png
Deep Sea Gore,Teal Shell,horn,1,melee,50,80,Add 30% to this Axie's shield when attacking.,Fish,https://storage.googleapis.com/axie-cdn/game/cards/base/aquatic-horn-04.png
Clam Slash,Clamshell,horn,1,melee,110,40,"Apply Attack+ to this Axie when attacking Beast, Bug, or Mech targets.",Fish,https://storage.googleapis.com/axie-cdn/game/cards/base/aquatic-horn-06.png
Aquaponics,Anemone,horn,1,ranged,80,40,Successful attacks restore 50 HP for each Anemone part this Axie posseses.,Fish,https://storage.googleapis.com/axie-cdn/game/cards/base/aquatic-horn-08.png
Hero's Bane,Oranda,horn,1,ranged,120,30,End target's Last Stand.,Fish,https://storage.googleapis.com/axie-cdn/game/cards/base/aquatic-horn-10.png
Star Shuriken,Shoal Star,horn,1,ranged,115,10,Target cannot enter Last Stand if this card brings its HP to zero.,Fish,https://storage.googleapis.com/axie-cdn/game/cards/base/aquatic-horn-12.png
Angry Lam,Lam,mouth,1,melee,110,40,Deal 120% damage if this Axie's HP is below 50%.,Fish,https://storage.googleapis.com/axie-cdn/game/cards/base/aquatic-mouth-02.png
Swallow,Catfish,mouth,1,melee,80,30,Heal this Axie by the damage inflicted with this card.,Fish,https://storage.googleapis.com/axie-cdn/game/cards/base/aquatic-mouth-04.png
Fish Hook,Risky Fish,mouth,1,melee,110,30,"Apply Attack+ to this Axie when attacking Plant, Reptile, or Dusk targets.",Fish,https://storage.googleapis.com/axie-cdn/game/cards/base/aquatic-mouth-08.png
Crimson Water,Piranha,mouth,1,melee,130,20,Target injured enemy if this Axie's HP is below 50%.,Fish,https://storage.googleapis.com/axie-cdn/game/cards/base/aquatic-mouth-10.png
Upstream Swim,Koi,tail,1,melee,110,30,Apply Speed+ to this Axie for 2 rounds when comboed with another Aquatic class card.,Fish,https://storage.googleapis.com/axie-cdn/game/cards/base/aquatic-tail-02.png
